;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta;uChlorophyta;uOchrophyta;uCryptophyta;uHaptophyta;uKatablepharidophyta;uRhodophyta;dChlorophyta;dOchrophyta;dCryptophyta;dHaptophyta;dKatablepharidophyta;dRhodophyta
C1A17;77;6008;0;328;0;0;0;317;0;70;0;0;77;5691;0;258;0;0
C1F18;714;3280;257;270;113;0;0;330;0;17;22;0;714;2950;257;253;91;0
C1A18;1166;689;164;358;543;0;126;41;0;22;0;0;1040;648;164;336;543;0
C2A17;0;396;0;0;6;0;0;8;0;0;0;0;0;388;0;0;6;0
C2F18;341;11458;191;168;115;0;0;441;0;42;2;0;341;11017;191;126;113;0
C2A18;1991;1226;175;278;211;4;190;219;0;56;0;0;1801;1007;175;222;211;4
C3A17;118;3765;0;15;18;0;0;227;0;0;0;0;118;3538;0;15;18;0
C3F18;575;24345;139;541;67;11;14;1192;0;265;0;0;561;23153;139;276;67;11
C3A18;1330;6299;261;799;515;0;16;475;0;90;0;0;1314;5824;261;709;515;0
C4A17;102;821;0;0;0;0;0;27;0;0;0;0;102;794;0;0;0;0
C4F18;659;17643;231;566;127;0;54;964;0;194;0;0;605;16679;231;372;127;0
C4A18;1123;3773;113;827;436;0;91;434;0;151;0;0;1032;3339;113;676;436;0
F1A17;202;1143;3106;566;241;16;70;144;0;145;0;0;132;999;3106;421;241;16
F1F18;118;25115;78;94;3;14;0;41;0;0;0;6;118;25074;78;94;3;8
F1A18;1791;845;221;129;19;16;0;66;0;0;0;16;1791;779;221;129;19;0
F2A17;338;1096;338;388;93;14;17;261;0;132;0;14;321;835;338;256;93;0
F2F18;198;15269;134;161;0;23;0;87;0;32;0;0;198;15182;134;129;0;23
F2A18;547;1074;161;132;29;0;17;54;0;0;0;0;530;1020;161;132;29;0
F3A17;148;213;81;96;46;0;14;38;0;0;0;0;134;175;81;96;46;0
F3F18;214;4818;117;430;64;0;28;199;0;51;0;0;186;4619;117;379;64;0
F3A18;2365;420;71;79;2;70;20;51;0;0;0;46;2345;369;71;79;2;24
F4A17;116;68;162;83;21;26;12;15;0;0;0;0;104;53;162;83;21;26
F4F18;120;4644;177;398;70;27;12;197;0;40;0;9;108;4447;177;358;70;18
F4A18;910;1134;402;244;26;0;5;86;0;36;0;0;905;1048;402;208;26;0
H1A17;2188;623;121;875;0;567;31;79;0;132;0;210;2157;544;121;743;0;357
H1F18;465;798;64;282;20;185;24;72;0;0;0;18;441;726;64;282;20;167
H1A18;751;749;161;442;13;173;449;41;0;22;0;18;302;708;161;420;13;155
H2A17;1816;416;91;468;0;16;621;0;0;24;0;16;1195;416;91;444;0;0
H2F18;1011;792;294;370;20;25;15;31;0;0;0;0;996;761;294;370;20;25
H2A18;566;642;173;396;4;153;331;115;0;94;0;44;235;527;173;302;4;109
H3A17;1739;367;176;565;0;80;231;47;0;52;0;16;1508;320;176;513;0;64
H3F18;1670;822;69;549;30;7;674;181;0;40;0;0;996;641;69;509;30;7
H3A18;256;608;187;221;5;66;44;50;0;11;0;0;212;558;187;210;5;66
H4A17;6720;565;184;741;8;106;2083;201;0;201;0;16;4637;364;184;540;8;90
H4F18;874;911;113;317;36;2;184;28;0;12;0;0;690;883;113;305;36;2
H4A18;836;1133;178;453;0;63;54;22;0;12;0;0;782;1111;178;441;0;63
P1F18;699;278;137;66;101;11;0;21;0;0;0;0;699;257;137;66;101;11
P1A18;442;13935;0;187;63;2717;15;2939;0;40;0;1073;427;10996;0;147;63;1644
P2F18;1622;501;144;219;84;0;0;116;20;16;0;0;1622;385;124;203;84;0
P3F18;11696;269;217;209;53;0;68;30;30;34;0;0;11628;239;187;175;53;0
P4F18;992;562;167;130;90;0;0;65;0;11;0;0;992;497;167;119;90;0
L1A17;401;457;0;11;121;363;17;82;0;11;0;175;384;375;0;0;121;188
L1F18;476;850;12;28;14;5320;84;122;0;0;0;2500;392;728;12;28;14;2820
L1A18;10986;1484;312;156;123;0;1031;342;312;0;30;0;9955;1142;0;156;93;0
L2A17;290;2437;0;34;259;243;150;432;0;0;62;99;140;2005;0;34;197;144
L2F18;5296;965;360;199;59;2625;112;209;0;0;0;958;5184;756;360;199;59;1667
L2A18;870;1401;58;234;123;0;315;431;0;127;0;0;555;970;58;107;123;0
L3A17;463;2418;0;33;262;155;55;14;0;0;98;48;408;2404;0;33;164;107
L3F18;121;344;43;28;31;8559;0;57;0;0;0;2154;121;287;43;28;31;6405
L3A18;4930;3336;45;48;186;0;665;1207;45;26;0;0;4265;2129;0;22;186;0
L4A17;347;225;0;33;182;416;64;6;0;0;0;229;283;219;0;33;182;187
L4F18;601;651;149;65;79;3753;62;172;0;0;0;1075;539;479;149;65;79;2678
L4A18;295;1569;86;118;196;4;61;181;0;15;12;4;234;1388;86;103;184;0
Q1A17;66;2689;0;20;27;553;26;907;0;0;12;212;40;1782;0;20;15;341
Q1F18;176;230;67;0;0;13;0;0;0;0;0;0;176;230;67;0;0;13
Q2A17;425;5107;15;231;44;2;0;2313;0;0;0;0;425;2794;15;231;44;2
Q2F18;359;682;684;66;0;0;0;115;11;41;0;0;359;567;673;25;0;0
Q3A17;188;4751;0;352;56;0;17;2485;0;0;0;0;171;2266;0;352;56;0
Q3F18;591;1124;461;77;31;14;0;71;0;72;25;0;591;1053;461;5;6;14
Q3A18;950;4707;200;878;142;0;75;555;115;132;25;0;875;4152;85;746;117;0
Q4A17;341;3627;13;424;13;8;269;1513;0;40;0;0;72;2114;13;384;13;8
Q4F18;208;498;362;53;0;13;67;0;0;15;0;0;141;498;362;38;0;13
Q4A18;1505;3988;0;588;41;0;142;629;0;193;0;0;1363;3359;0;395;41;0