"";"Mamiellophyceae";"Bacillariophyta";"Trebouxiophyceae";"Chlorodendrophyceae";"Cryptophyceae";"Chloropicophyceae";"Prymnesiophyceae";"Pelagophyceae";"Phaeophyceae";"Pyramimonadophyceae";"Ulvophyceae";"Cryptophyceae:nucl";"Katablepharidaceae";"Florideophyceae";"Chrysophyceae";"Bolidophyceae";"Dictyochophyceae";"MOCH-3";"MOCH-5";"Haptophyta_Clade_HAP3";"MOCH-2";"NA";"MOCH-1";"Prasino-Clade-9";"Xanthophyceae";"Chlorophyceae";"Haptophyta_Clade_HAP5";"Nephroselmidophyceae";"MOCH-4";"Prasino-Clade-VIII";"Bangiophyceae";"Haptophyta_Clade_HAP4"
"C1A17";0,0566444109412018;0,373034675856127;0,00172302390695671;0;0;0;0,475195635006102;0;0,00172302390695671;0,00703568095340656;0;0;0,000430755976739177;0;0,0610955560341733;0;0,0231172374183358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";0,525210645981008;0,123266907404931;0;0,00325442468013018;0,0333912888413357;0,0478355846819134;0,0255450046810218;0,011724845080469;0;0,119299184164772;0;0,00873790736034952;0,0284427800811377;0;0,0513129151620525;0,00655343052026214;0,015425081360617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";0,56;0,00318471337579618;0,00373673036093418;0;0,0566454352441614;0,130530785562633;0,0200849256900212;0,158174097664544;0;0,0130785562632696;0;0,00951167728237792;0,0234819532908705;0;0,00726114649681529;0,00199575371549894;0,00679405520169851;0;0;0,00114649681528662;0,00318471337579618;0;0;0,00118895966029724;0;0;0;0;0;0;0;0
"C2A17";0,0419254658385093;0,591614906832298;0,0543478260869565;0;0,015527950310559;0,0357142857142857;0,141304347826087;0;0,015527950310559;0,0419254658385093;0;0;0,0093167701863354;0;0,0357142857142857;0;0,0170807453416149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";0,103755638893418;0,666612315886733;0;0,00673949671177781;0,0364693733355074;0,0141855535626936;0,0222838197728137;0,0158704277406381;0,00119571715854123;0,057883580629382;0;0,0153812707212349;0,0124463286048155;0;0,0344040436980271;0,00228273275721507;0,0104897005272026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0,423291328992364;0,027919613997283;0,00524663887197264;0,00290438937555628;0,045673865180119;0,314892022298215;0,0190190659109008;0,114863915304258;0;0,0107275026935869;0;0,00449711903311941;0,0100716728345903;0;0,00323230430505457;0,00234224949641636;0,00749519838853235;0;0;0,000749519838853235;0,00210802454677472;0;0,00173326462734811;0,00323230430505457;0;0;0;0;0;0;0;0
"C3A17";0,00462388632006316;0,882260065411075;0,013758881245066;0,00338333145370475;0;0,00834555091913838;0,00687944062253299;0;0;0,0362016465546408;0,000789444005864441;0;0,00202999887222285;0;0,0342844253975414;0;0,00744332919815045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";0,0113918282618602;0,880790846033112;0;0,000303782086982938;0,00480988304389651;0,00296187534808364;0,0300491114373956;0,00103792213052504;0;0,0248595007847704;0,000354412434813427;0,00334160295681231;0,00139233456533846;0,000278466913067693;0,0330616171333097;0;0,0053668168700319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A18";0,206016847172082;0,268929001203369;0,00235860409145608;0,00149217809867629;0,062719614921781;0,0666666666666667;0,0567990373044525;0,192394705174489;0,00144404332129964;0,0456799037304452;9,62695547533093e-05;0,0130445246690734;0,0280625752105897;0;0,0126113116726835;0,00476534296028881;0,0287364620938628;0,000577617328519856;0;0;0,00567990373044525;0;0,00062575210589651;0,000770156438026474;0;0;0,000529482551143201;0;0;0;0;0
"C4A17";0,0172757475083056;0,572757475083057;0,027906976744186;0;0;0;0,0385382059800664;0;0,156146179401993;0,0598006644518272;0,0451827242524917;0;0;0;0,0385382059800664;0;0,0438538205980066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4F18";0,0304847928868817;0,78921741584927;0;0,00949121445204996;0,0108672641309717;0,00776233152212264;0,0417401735939595;0,00197586620563122;0,000493966551407805;0,0297791263848705;0;0,00751534824641874;0,00444569896267024;0;0,056453320160892;0;0,00938536447674829;0;0;0;0;0;0;0,000388116576106132;0;0;0;0;0;0;0;0
"C4A18";0,269630987852395;0,111620444648178;0,00325464130185652;0,000733440293376117;0,0640385056154023;0,0709145083658033;0,0506532202612881;0,300068760027504;0;0,0295209718083887;0;0,0142104056841623;0,0213156085262434;0;0,0244785697914279;0,012193444877378;0,0180151272060509;0;0;0;0,00838872335548934;0;0;0,000962640385056154;0;0;0;0;0;0;0;0
"F1A17";0,266159425442651;0,056602431913532;0;0,00135106307331295;0,446846334352556;0;0,0892412714214606;0,00675531536656474;0,00163549740453673;0,0130839792362938;0;0,0451539500817749;0,0169238427078148;0,00113773732489511;0,0159283225485316;0,011519590414563;0,0245324610680509;0;0;0,000142217165611889;0,000924411576477281;0;0,0020621489013724;0;0;0;0;0;0;0;0;0
"F1F18";0,0305720627192668;0,901696856876924;0,000322188014605857;0;0,00773251235054056;0,00873487506264767;0,0060499749409322;0,00236271210710962;0,00544139758001002;0,0132097085988401;0;0,00275649745829455;0,0055129949165891;0,000501181356053555;0,0104532111405456;0,000823369370659411;0,00383045750698074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F1A18";0,433969005403957;0,0176856772810504;0,103389754812201;0,000669912018221607;0,0786030101380019;0,258764682238399;0,00790496181501496;0,0253673350899915;0;0,0355946585681747;0;0,00705640659193426;0,00165244964494663;0,000401947210932964;0,0158099236300299;0,00276896967531598;0,00719038899557858;0,0018757536510205;0,00129516323522844;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2A17";0,449412218153787;0,019849682019657;0,0223549816920409;0;0,150607053382155;0,0104066294083638;0,0919252264405473;0,0275582963962228;0,00520331470418192;0,0897089998072846;0,00558874542301021;0,0178261707458084;0,00722682597803045;0,00134900751589902;0,0374831374060513;0,0262092888803238;0,0214877625746772;0;0;0,00115629215648487;0;0;0,014646367315475;0;0;0;0;0;0;0;0;0
"F2F18";0,122969950403579;0,711708645336964;0;0;0,017942234756394;0,0275211514149567;0,010989010989011;0,00505689001264223;0,00807157444325586;0,0246037148692016;0;0,00471652241563746;0,010794515219294;0,0011183506758728;0,0426918214528834;0,00461927453077896;0,00719634347952932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2A18";0,755163336933045;0,00853806695464363;0,0225769438444924;0;0,0473812095032397;0,0600026997840173;0,00654697624190065;0,0409017278617711;0;0,0102254319654428;0;0,00674946004319654;0,00165361771058315;0;0,0287526997840173;0,00651322894168467;0,00415091792656587;0;0;0,000843682505399568;0;0;0;0;0;0;0;0;0;0;0;0
"F3A17";0,49684924866699;0,00702859912748425;0,066650508967523;0;0,118031992244304;0,0181774115365972;0,073194377120698;0,0206010664081435;0;0,12409112942317;0;0,00896752302472128;0,0111488124091129;0;0,0191468734852157;0,0104217159476491;0,0181774115365972;0;0;0,000969461948618517;0;0;0,00654386815317499;0;0;0;0;0;0;0;0;0
"F3F18";0,299766290899093;0,20229584822656;0,00109980753368161;0,00158097332966731;0,106543854825406;0,0211025570525158;0,0395243332416827;0,0250206213912565;0,0408303546879296;0,0338878196315645;0;0,00948583997800385;0,0415864723673357;0;0,129364861149299;0,0193153698102832;0,027426450371185;0;0;0;0;0;0;0;0;0;0,00116854550453671;0;0;0;0;0
"F3A18";0,246948696731485;0,0111191559784857;0,210022755482002;0,000827472072817542;0,0366156392221763;0,391911460488209;0,00496483243690525;0,0159288374017377;0,000879189077368639;0,0508378154737278;0;0,00548200248241622;0,0014480761274307;0,00305130326851469;0,0101365328920149;0,00108605709557302;0,00315473727761688;0,00258585022755482;0,00134464211832851;0,000413736036408771;0;0;0;0;0;0,00124120810922631;0;0;0;0;0;0
"F4A17";0,235955056179775;0,0176565008025682;0,129614767255217;0;0,202247191011236;0,0449438202247191;0,0778491171749599;0,0136436597110754;0,00882825040128411;0,225120385232745;0;0,00922953451043339;0,00842696629213483;0,0104333868378812;0,00321027287319422;0,00682182985553772;0;0;0;0;0;0;0,00601926163723917;0;0;0;0;0;0;0;0;0
"F4F18";0,338419920926684;0,201983769161407;0;0;0,106402164111812;0,0157453006866893;0,0383574946244017;0,0273288478879101;0,024346257889991;0,0226815564958036;0;0,0132482485954082;0,0380800443920372;0,00187278906846084;0,117708261080669;0,0210168551016161;0,0314212388152875;0;0;0,000624263022820282;0;0;0;0;0;0;0,000762988139002566;0;0;0;0;0
"F4A18";0,581842576028623;0,0147137745974955;0,0419499105545617;0,000268336314847943;0,123211091234347;0,0869409660107335;0,0109570661896243;0,0347495527728086;0;0,0269230769230769;0;0,0143112701252236;0,00290697674418605;0;0,0415026833631485;0,00384615384615385;0,0112701252236136;0,00125223613595707;0;0,00205724508050089;0,00129695885509839;0;0;0;0;0;0;0;0;0;0;0
"H1A17";0,725806925313519;0,00795911774207759;0,00839965931451731;0,0424094687068636;0,01885517930042;0,00399424359012012;0,0896648947105642;0,00701929572087286;0,0136861581837939;0,0424388381450263;0,00640253751945725;0,00240829392933713;0;0,0146259802049987;0,0043466768480719;0,00390613527563218;0,00425856853358395;0,000822344268554143;0;0;0,00123351640283121;0;0,00176216628975888;0;0;0;0;0;0;0;0;0
"H1F18";0,91356925749023;0,00998697351280938;0,00206252713851498;0,00102040816326531;0,0182153712548849;0,00267042987407729;0,0074468085106383;0,00542770299609205;0,00384281372123317;0,00314806773773339;0,00275727312201476;0,00299609205384281;0,00725141120277898;0,00386452453321754;0,00664350846721667;0,00212765957446809;0,0056665219279201;0,000998697351280938;0;0;0;0;0,000303951367781155;0;0;0;0;0;0;0;0;0
"H1A18";0,836417527837859;0,00600817111271329;0,00280381318593287;0;0,0336724612139176;0,0160217896339021;0,0148468583940826;0,0443002483377393;0,00686266655985474;0,00213623861785361;0,00189591177334508;0,00857165745413763;0,000694277550802425;0,00475313092472429;0,00753024112793399;0,00416566530481455;0,00531389356191087;0,00293732809954872;0;0,000720980533525595;0;0;0,000347138775401212;0;0;0;0;0;0;0;0;0
"H2A17";0,838036361219131;0,00262571874896135;0,00309103599561272;0;0,017216738126101;0,00122976700900721;0,0618539568584438;0,0069132848073919;0,000797686708545219;0,0211719347226377;0,027686376175757;0,00199421677136305;0;0,000531791139030146;0,00375577491940041;0,00664738923787682;0,00362282713464287;0,00106358227806029;0;0;0,000498554192840762;0;0,0012630039551966;0;0;0;0;0;0;0;0;0
"H2F18";0,869655581947744;0,011035233570863;0,00324129057798892;0,0139053840063341;0,0318190815518606;0,00784342834520982;0,010862034837688;0,00539390340459224;0,00103919239904988;0,00727434679334917;0,00106393507521774;0,0102929532858274;0,00536916072842439;0,000940221694378464;0,00913004750593824;0,00247426761678543;0,00794239904988124;0,000717537608867775;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A18";0,813318220459054;0,00597903088693681;0,00269198073108529;0;0,0405780674412015;0,0146783791442335;0,014508359308586;0,0551431000283366;0,00960612071408331;0,0022102578634174;0,00164352507792576;0,0140549730801927;0,000793425899688297;0,00490223859450269;0,0086710116180221;0,00260697081326155;0,00575233777274015;0,00255029753471238;0;0,000311703032020402;0;0;0;0;0;0;0;0;0;0;0;0
"H3A17";0,799491295874211;0,00247745515806164;0,00426122287186602;0,00052852376705315;0,0481947610081591;0,00251048789350246;0,0331648663825851;0,0138737488851452;0,0250718461995838;0,00426122287186602;0,0455521421728933;0,00578072870214382;0;0,00208106233277178;0,00462458296171506;0,0018168004492452;0,0028738479833515;0,000990982063224656;0;0;0,000957949327783834;0;0,00148647309483698;0;0;0;0;0;0;0;0;0
"H3F18";0,897116443674052;0,014264304931116;0,00317787046566636;0,00516403950670783;0,0234006825199068;0,00630157268475886;0,0113753317805103;0,00435151580809996;0;0,00780022750663561;0;0,00823357347922648;0,00348482386291822;0,000126392575339003;0,00565155372587256;0,00319592654785765;0,00485708610945597;0,00111947709585974;0;0;0;0;0,000379177726017009;0;0;0;0;0;0;0;0;0
"H3A18";0,834731253730406;0,00678541136556404;0,00339270568278202;0;0,0467753589042817;0,0237803537209814;0,0106179122294474;0,0391103571765149;0,00439795181101373;0,00320422203373857;0;0,00590582100336129;0,00163352495837653;0,00204190619797066;0,00904721515408538;0,00113090189426067;0,00420946816197028;0,00163352495837653;0;0,000314139415072409;0,000439795181101373;0;0;0;0;0;0;0;0,000502623064115855;0;0;0,00034555335657965
"H4A17";0,620915217760661;0,00535198504842272;0,00325649883898737;0;0,0441184799229767;0,00325649883898737;0,0347171093617262;0,0221441921051141;0,0692359970549924;0,00589001529138585;0,172028090842159;0,00356799003228181;0;0,00297332502690151;0,00269015121481565;0,00235034264031262;0,00308659455173586;0,00133091691680353;0;0,000198221668460101;0,00144418644163788;0;0,00110437786713485;0;0;0;0;0;0;0;0,00033980857450303;0
"H4F18";0,903506780325703;0,013725773493777;0,00381844826518607;0,00470597948358067;0,0196701686309315;0,00613015748519061;0,00901979401019629;0,00487110157072385;0,000247683130714772;0,00699704844269232;0,00026832339160767;0,00526326652768891;0,00262131313339801;4,12805217857954e-05;0,00937067844537555;0,00332308200375653;0,00553158991929658;0,00053664678321534;0;0;0;0;0,000350884435179261;0;0;0;0;0;0;0;0;0
"H4A18";0,693316662341645;0,00497770648045483;0,00882304371417113;0;0,0496591096746797;0,0887966217650806;0,0202175092594777;0,0946943782585105;0,000896458987001345;0,00434074877916441;0;0,00967232064922503;0,000353865389605794;0,00146264361037061;0,00887022576611857;0,00410483851942721;0,00653471419472033;0,000872867961027625;0;0,000519002571421831;0,00146264361037061;0;0,000424638467526953;0;0;0;0;0;0;0;0;0
"P1F18";0,701234646471075;0,0564182524024693;0,0662508750715968;0,000477311780054732;0,0344937313052886;0,0652326099408133;0,00324572010437218;0,0395850569592057;0,00645961942340737;0,00350028638706803;0;0,00614141157003755;0,00827340418761535;0,000350028638706803;0,00388213581111182;0,00140011455482721;0,00245020047094762;0,00060459492140266;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P1A18";0,0787317712600361;0,610560380140914;0,0513272161232181;0,00593970178600688;0,0147878092741275;0,016835982303785;0,0137227592987056;0,00831558250040963;0,0118794035720138;0,0199082418482713;0,00331804030804522;0,00483368834999181;0,00155661150253973;0,109864001310831;0,0346141242012125;0,0106504997542192;0,00147468458135343;0,00090119613304932;0;0,000122890381779453;0;0;0;0;0;0;0;0;0;0,000655415369490415;0;0
"P2F18";0,661116300041869;0,0492125350252826;0,0601951753679668;0,0276337402170762;0,0605172469322683;0,0439627685271667;0,0102096685883603;0,0377467873361461;0;0,0102418757447905;0;0,0113369190634159;0,0125285838513318;0;0,0080517891075397;0,0014815291957873;0,00470224483880318;0,00106283616219524;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P3F18";0,434748660509949;0,0675803020920277;0,0183624565843677;0,35330228049864;0,0538488462884683;0,0157238631162327;0,00721574540265475;0,0228588352494548;0;0,00546565789827953;0;0,00942354810048195;0,00479254731967368;0;0,00293476212272152;0,00045771519345198;0,00285398885328882;0,000430790770307746;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P4F18";0,722191991293493;0,0758298389936302;0,0367145737972536;0,00819435997567299;0,0390512467590666;0,0422521686245639;0,00524951185941551;0,0325533753721072;0;0,00649787138695944;0;0,00861047981818764;0,0129957427739189;0;0,00531353029672546;0,000736212029064371;0,00380909701994174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q1A17";0,0482275350370981;0,564921681780709;0,00206100577081616;0;0,0776999175597692;0;0,0103050288540808;0,00412201154163232;0,0562654575432811;0,00865622423742786;0;0,0300906842539159;0,0210222588623248;0,10964550700742;0,0523495465787304;0;0,00845012366034625;0;0;0,00185490519373454;0,00309150865622424;0;0,00123660346248969;0;0;0;0;0;0;0;0;0
"Q1F18";0,0960495739736638;0,467079783113865;0;0,118512780790085;0,113090627420604;0,0209140201394268;0;0,00232378001549187;0;0;0,00852052672347018;0,163439194422928;0;0,0100697134004648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q2A17";0,273167714668591;0,457066281826616;0;0,000721575095350995;0,0444284094423255;0;0,0371095763323369;0,0111328728997011;0,00515410782393568;0,0343263581074116;0;0,00597876507576538;0,00814349036181837;0,00134006803422328;0,0964848984640759;0,0123698587774456;0,00721575095350995;0;0;0,00113390372126585;0,00422636841562726;0;0;0;0;0;0;0;0;0;0;0
"Q2F18";0,530004027386226;0,129144851657941;0,0311451201503558;0,0472546650557122;0,0622902403007115;0,0303396429050879;0,012216404886562;0,00845751107531212;0;0,0116794200563834;0;0,119881863337361;0,00214793932071419;0;0,00349040139616056;0,00899449590549067;0;0,00120821586790173;0,00174520069808028;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q3A17";0,212580568154691;0,508235855812843;0,00131296252088804;0;0,0640964430651707;0;0,0570541895440439;0,0131296252088804;0;0,00107424206254476;0;0,0206493196466937;0,0126521842921938;0;0,0800907137741704;0,0199331582716639;0,00143232275005968;0;0;0,00095488183337312;0,00680353306278348;0;0;0;0;0;0;0;0;0;0;0
"Q3F18";0,423275061227937;0,125242800439152;0,0175660839456127;0,0359766911578414;0,198885229288067;0,0488978971370661;0,0120766827126087;0,0183261548855671;0,00371590237311038;0,00650282915294316;0;0,0966134617008699;0,00211130816653999;0,00118233257326239;0,00464487796638797;0,00219576049320159;0,000675618613292796;0;0;0,000253356979984799;0;0;0;0,00185795118655519;0;0;0;0;0;0;0;0
"Q3A18";0,569305970438763;0,0769290452729177;0,0404624277456647;0,00954339139543003;0,0588509136051519;0,00744850060131125;0,0378244171160337;0,117042324552896;0;0,0148194126546922;0;0,0116382821895488;0,0098925398611165;0;0,0122589905729914;0,00225006788997944;0,0205221709275711;0,00193971369825814;0;0,00345269038289948;0,00387942739651627;0;0,00112503394498972;0;0;0;0;0,000814679753268418;0;0;0;0
"Q4A17";0,25976423803437;0,417554324669791;0,00284050560999858;0;0,03990910382048;0;0,0737111205794631;0,0134924016474933;0;0;0;0,00596506178099702;0,00596506178099702;0,00113620224399943;0,136060218718932;0,0309615111489845;0,00553898593949723;0;0;0;0,00710126402499645;0;0;0;0;0;0;0;0;0;0;0
"Q4F18";0,2612097502257;0,274450797472164;0,016250376166115;0,0406259404152874;0,0944929280770388;0,0767378874510984;0,0252783629250677;0,0231718326813121;0,00421306048751129;0,00872705386698766;0;0,148058982846825;0,0108335841107433;0,00391212759554619;0;0,00511585916340656;0;0;0;0;0;0;0,00210653024375564;0;0;0,00481492627144147;0;0;0;0;0;0
"Q4A18";0,745872345452934;0,0161266503234191;0,0225654960569454;0,0155654665209558;0,0247806952771953;0,00676374161916295;0,0184599935020823;0,0805446436482854;0;0,017898809699619;0;0,00549369406621969;0,00215612724104321;0;0,0230085359009954;0,00239241515786986;0,0109873881324394;0,0023333431786632;0;0,00295359896033317;0,00132911953214992;0;0,000767935729686623;0;0;0;0;0;0;0;0;0
"L1A17";0,833155805170911;0,00726251573545076;0,0175268713082212;0;0,0240631354701269;0,000774668345114748;0,0015493366902295;0,0041154255834221;0,0359252445046964;0;0,0136051128110778;0,00334075723830735;0,00769826667957781;0,0172847874503728;0,0235789677544301;0;0,00813401762370485;0,00198508763435654;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L1F18";0,103323299957;0,0606916886786658;0,0452730511702193;0,0239572455310523;0,0175686467227717;0,00337858590822532;0,00172000737146016;0,00516002211438049;0,389888813809202;0,00479144910621046;0,00939861170833589;0,000860003685730082;0,00165857853676516;0,327907119601941;0,00073714601634007;0;0,00129000552859512;0;0,00239572455310523;0;0;0;0;0;0;0;0;0;0;0;0;0
"L1A18";0,477660564691281;0,0413589823146137;0,0443065466956252;0,36683214396525;0,0241700279242941;0,0124107973937325;0,00359913124418244;0,00384734719205709;0;0;0;0,0110145826869376;0,00291653738752715;0;0,00443686006825939;0;0,00294756438101148;0;0;0;0;0;0;0;0,00449891405522805;0;0;0;0;0;0;0
"L2A17";0,585802546967595;0,0156768797545497;0,00483335434791746;0;0,0408103223637204;0;0,00281595427226495;0,00218551674862354;0,142604967847686;0,00121884587904005;0,00580002521750095;0,00537973353507334;0,0113478754255453;0,00991888370529147;0,123439667128988;0;0,0469886100954062;0,000714495860126928;0;0,000462320850670365;0;0;0;0;0;0;0;0;0;0;0;0
"L2F18";0,463138967377344;0,0321410223478037;0,121082712561007;0,187162856408939;0,0306640123298228;0,00988954533778577;0,00648600051374261;0,0104032879527357;0,0124582584125353;0,00995376316465451;0,00112381197020293;0,0166645260724377;0,00247238633444644;0,084061135371179;0,00292191112252761;0;0,0043025944002055;0,00166966349858721;0,00292191112252761;0;0;0;0;0;0;0;0;0,000481633701515541;0;0;0;0
"L2A18";0,820762458967472;0,0387943897344076;0,0233139361384661;0,0145851984482244;0,0452103849597135;0,00242464935840048;0,00898985377499254;0,0127946881527902;0;0,00604297224709042;0;0,0088779468815279;0,00608027454491197;0;0,0052969262906595;0,0039913458669054;0,00152939421068338;0;0;0;0;0;0,0013055804237541;0;0;0;0;0;0;0;0;0
"L3A17";0,733432835820895;0,00716417910447761;0,00332622601279318;0;0,0293816631130064;0;0,00243070362473348;0,00238805970149254;0,0624307036247335;0,0182089552238806;0,0023454157782516;0,004136460554371;0,0133475479744136;0,00656716417910448;0,101918976545842;0;0,0116844349680171;0,00123667377398721;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3F18";0,370309207903878;0,0126416491088207;0,0513068731848984;0,0076874893229315;0,0163999772222539;0,00597915836228005;0,00244860771026707;0,00814304424577188;0,0124708160127555;0,0044986048630488;0,00199305278742668;0,00643471328512044;0,00227777461420192;0,486703490689596;0,00347360628665794;0;0,000569443653550481;0,00216388588349183;0,0044986048630488;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3A18";0,660495161900643;0,0770041623871561;0,0505162441213039;0,122898535055949;0,0223525595978161;0,00951402778528569;0,00737877723120169;0,0145413265581923;0;0,00291907670684902;0;0,000216227904211038;0,00502729877290664;0;0,0165954916481972;0,00286501973079626;0,00683820747067409;0;0;0;0,000540569760527596;0;0;0;0;0;0;0;0;0;0;0,000297313368290178
"L4A17";0,751017826791573;0,00438752519862445;0,00549428831179098;0;0,0158109016166647;0,000197636270208309;0,00213447171824973;0,00138345389145816;0,171350646270604;0,00339934384758291;0,00806355982449899;0,00181825368591644;0,00790545080833235;0,015652792600498;0,0100794497806237;0;0,00130439938337484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4F18";0,670100688100144;0,0192823543132605;0,0407417486296311;0,00590910857987016;0,0279516386113595;0,0055592271507989;0,0056369785794814;0,0206430043152043;0,0239085643198694;0,00820277572600397;0,00606461143723516;0,00606461143723516;0,00361544143373635;0,143412510204875;0,00730863429615519;0,000971892858531276;0,00318780857598258;0,00143840143062629;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4A18";0,825571577032996;0,0443296960249415;0,0450766432839699;0,000714471291244479;0,0386788776305534;0,0012990387113536;0,00578072226552351;0,00896336710833983;0,00038971161340608;0,001623798389192;0,00159132242140816;0,0124058196934269;0,00571577032995583;0,00012990387113536;0,00155884645362432;0,00149389451805664;0,00376721226292544;0,00038971161340608;0;0,00012990387113536;0;0;0;0;0;0,00038971161340608;0;0;0;0;0;0
