"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chanaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"LasCruces";"Total";"Color"
"Chlorophyta";911;15603;16686;112;3359;16230;595;1575;6712;226;2208;8181;3946;1476;18638;5993;3601;25127;2912;5200;17437;1584;5433;16500;28242;42616;32179;26814;36495;29451;25964;50928;27539;28848;44836;33711;26294;4314;24937;30738;25488;286;315;3001;4845;1801;6324;16559;1849;1357;27379;17872;3095;29046;14220;24692;23246;17759;7758;31313;19434;18947;26982;72398;107847;407623;111771;63716;234364;997719;"#440154"
"Fungi";32762;5836;3404;53098;1535;7931;53617;5092;399;52816;3520;3465;7439;6506;4336;20070;10819;1177;33875;2912;9995;40105;4884;4973;7585;3180;502;5305;1370;249;17173;2725;1246;6335;1959;320;6913;10480;3387;2002;3358;11258;36437;5060;57674;4704;47479;1260;6796;53216;952;20268;11538;2359;6150;12362;744;5195;16412;769;18093;10264;563;223475;147091;47949;26140;224836;104717;774208;"#460C5F"
"Dinoflagellata";2273;22234;11429;1383;26002;17679;3843;7798;12460;1855;8000;11777;7764;13695;23418;9830;17949;17136;8512;27308;26977;4246;28877;21484;12946;8119;14616;13304;11701;16090;6375;8116;12394;5043;8153;10404;7946;9796;10996;9351;13827;5970;16461;6655;4531;4342;4204;18690;4192;5660;12461;7358;12455;7474;7257;14463;8906;9335;5812;9152;4927;9315;9162;126733;207196;127261;51916;83166;105616;701888;"#481769"
"Ochrophyta";6393;4672;4253;425;13447;3409;8193;36352;10715;1221;24304;10365;1687;25828;1612;1582;16038;2633;338;6476;894;140;6110;2429;1532;1612;2901;818;1525;3187;1640;1873;2141;3840;1839;5207;3482;16561;3175;3607;3694;3350;606;5759;1140;5275;1833;6082;4300;1027;4655;1673;7491;1840;7890;2081;1708;4381;772;4380;4769;1974;1875;123749;65767;28115;30519;34027;40834;323011;"#482979"
"Ciliophora";5055;1587;2857;323;2032;2379;346;6713;4074;375;4718;4046;10083;412;608;472;413;3992;518;1146;593;182;774;2503;833;2325;3007;772;4514;1710;668;3171;3396;503;2798;3751;8176;2486;5459;7886;9968;2933;122;6014;1546;7986;1344;7983;2683;159;6898;4791;350;9305;3861;1420;11344;8028;304;12841;3201;735;14158;34505;21696;27448;33975;37668;70338;225630;"#443B84"
"Metazoa";181;980;754;57;1140;2108;104;2565;5231;140;1991;3252;1215;1259;1187;1459;4365;999;1825;5375;540;152;4459;859;932;2032;5509;345;545;4526;1979;254;6078;1957;174;1017;276;5138;149;61;21;17917;7964;2563;760;1500;7828;857;2872;942;794;4612;11322;1277;12743;7565;1709;2466;12707;859;6768;10422;823;18503;23694;25348;5645;43997;73273;190460;"#482071"
"Sagenista";261;3331;410;41;2856;472;423;1815;481;103;1709;840;1066;1968;781;1396;2840;2171;386;5393;686;301;5464;1174;1360;1341;1852;1277;1939;1520;1623;1923;1186;1011;2293;1930;460;1871;641;626;892;240;164;2321;1226;3094;895;1033;3792;928;317;187;384;161;124;2069;435;81;1197;997;88;1414;284;12742;23626;19255;4490;14010;7421;81544;"#3A548C"
"Cryptophyta";0;749;1334;10;671;975;0;190;1303;0;308;1397;6284;216;1760;1563;369;1404;487;1550;708;504;1534;2755;642;839;1261;518;1286;1432;1459;1296;1489;1558;953;2105;1084;361;1879;2000;1220;377;146;431;464;537;2355;1517;281;314;839;497;286;779;971;955;1212;689;288;827;400;719;1191;6937;19134;14838;6544;7261;8814;63528;"#46337E"
"Opalozoa";489;1362;418;38;803;237;33;444;1323;62;618;1418;1377;409;158;1893;839;287;519;1589;60;181;1381;323;1101;354;457;1061;273;362;530;191;200;297;117;356;47;1580;295;608;177;1166;40;2466;705;2120;543;233;2837;746;97;583;74;162;455;489;302;258;260;0;530;359;170;7245;9016;5299;2707;10953;3642;38862;"#2A788E"
"Picozoa";5;192;127;0;183;79;0;5;55;0;18;89;2278;112;221;2600;215;271;620;860;78;404;1031;300;1126;331;531;1092;252;462;935;254;375;1028;261;292;78;421;196;182;211;319;22;3259;121;6059;414;59;8155;170;296;13;32;207;16;261;31;8;59;32;10;234;106;753;8990;6939;1088;18874;1009;37653;"#3E4C8A"
"Haptophyta";6619;573;500;91;410;422;61;1187;1191;58;1183;1105;1257;169;177;966;226;219;306;592;104;194;573;291;3053;343;583;1861;439;523;1004;630;359;1233;437;879;102;338;317;268;164;59;0;371;91;486;146;1064;519;84;725;32;28;116;78;202;241;57;43;284;54;145;182;13400;5074;11344;1189;3545;1462;36014;"#414487"
"Rhodophyta";0;0;0;0;0;0;0;11;0;0;0;0;16;14;9;14;23;0;0;0;59;26;27;0;498;178;178;16;38;173;63;7;65;117;2;62;11;2682;0;0;0;532;13;13;0;0;14;0;8;13;0;357;5338;0;236;2618;0;154;8547;0;396;3689;4;11;188;1397;2693;593;21339;26221;"#277F8E"
"Pseudofungi";1246;327;158;68;271;112;67;537;559;48;457;330;573;79;74;171;134;91;76;297;45;16;373;130;195;122;175;150;195;176;369;127;156;242;71;222;62;496;177;222;149;813;0;2991;14;3213;48;261;4141;25;309;49;288;0;39;232;116;57;85;15;71;190;138;4180;2059;2200;1106;11815;1280;22640;"#33638D"
"Cercozoa";260;1421;34;17;709;73;890;1193;97;228;1131;211;113;179;54;283;246;69;84;537;43;27;675;62;182;144;131;138;133;142;75;152;57;65;31;58;43;382;133;68;70;901;45;1111;257;1280;354;208;1387;301;382;315;188;206;126;396;301;140;92;994;63;200;369;6264;2372;1308;696;6226;3390;20256;"#228D8D"
"Cryptophyta.nucl";0;196;224;0;283;96;0;132;271;0;213;310;635;77;158;185;97;200;37;138;106;23;191;320;82;138;321;60;416;496;175;456;188;126;255;410;193;118;352;350;269;146;211;58;893;173;1144;300;42;492;186;69;14;355;128;519;238;97;113;8;46;156;382;1725;2167;3123;1282;3645;2125;14067;"#306A8E"
"Stramenopiles_X";98;51;0;0;16;0;18;128;0;0;122;20;0;3;0;33;16;7;5;59;0;0;29;0;0;0;0;0;0;10;0;11;0;0;8;0;0;9;0;0;9;4301;0;1978;6;2131;0;70;2708;0;0;0;0;7;0;0;0;0;0;0;0;0;48;453;152;29;18;11194;55;11901;"#365C8D"
"Katablepharidophyta";6;638;553;6;229;215;18;55;583;0;126;465;238;154;37;75;222;49;46;605;28;21;549;65;0;334;26;0;217;28;0;193;52;0;127;15;260;38;389;178;406;102;0;79;16;106;25;255;42;36;73;159;27;94;270;77;163;313;40;186;200;93;176;2894;2089;992;1271;734;1798;9778;"#2C718E"
"Telonemia";124;178;730;38;71;174;17;212;545;10;103;393;145;18;59;114;46;51;14;79;10;32;67;117;93;95;89;84;126;104;155;162;94;131;157;267;46;79;129;153;80;20;2;19;0;0;6;166;21;0;27;3;23;0;14;86;0;0;24;40;13;79;15;2595;752;1557;487;261;297;5949;"#1F9A8A"
"Streptophyta";0;0;0;23;0;0;0;5;0;0;14;0;6;0;0;0;2;0;0;0;0;0;0;0;0;12;0;0;10;0;53;1038;0;0;0;0;0;0;43;0;0;0;44;0;105;0;26;2102;0;11;115;28;0;970;0;0;473;0;0;486;0;104;23;42;8;1113;43;2403;2084;5693;"#20938C"
"Prasinodermophyta";0;135;101;0;90;391;0;26;322;0;17;86;0;45;437;14;70;107;0;91;705;0;57;154;134;38;51;18;30;65;64;64;81;56;75;134;22;318;57;56;93;7;0;20;46;23;51;42;43;0;0;10;56;0;10;16;0;0;15;27;0;37;0;1168;1680;810;546;232;171;4607;"#24868E"
"Choanoflagellida";15;129;0;0;98;11;0;108;89;0;89;46;106;21;46;156;28;42;40;226;14;9;219;46;6;14;34;0;33;82;41;34;45;11;5;156;34;314;109;53;64;105;0;100;0;94;29;177;89;0;167;21;37;102;23;51;261;67;22;234;11;62;129;585;953;461;574;761;1020;4354;"#32B67A"
"Apicomplexa";0;0;0;0;0;13;3;0;43;0;8;24;0;0;53;3;23;4;0;0;66;5;3;9;0;0;0;0;0;0;0;0;27;0;0;0;0;43;0;0;0;14;866;0;425;0;120;0;0;302;0;0;165;0;0;50;0;0;32;0;0;42;0;91;166;27;43;1727;289;2343;"#1FA187"
"Centroheliozoa";0;92;27;0;44;12;0;8;84;0;5;51;128;0;27;278;0;24;108;7;0;18;26;31;5;0;8;0;0;5;4;0;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;74;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;323;647;44;0;81;0;1095;"#28AE80"
"Conosa";696;0;0;0;0;64;0;0;23;0;0;0;0;0;0;83;0;0;0;0;7;0;0;0;0;0;66;0;0;0;0;0;6;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;2;0;0;0;0;0;0;0;0;783;90;118;0;26;2;1019;"#4AC16D"
"Radiolaria";0;0;0;0;0;60;0;0;0;0;0;0;0;0;11;29;0;0;0;15;0;22;40;19;29;0;215;21;0;111;0;0;52;0;0;15;0;0;0;0;0;24;0;0;0;12;0;0;71;11;24;0;0;0;0;0;0;0;0;0;0;0;7;60;136;443;0;142;7;788;"#3DBC74"
"Mesomycetozoa";0;16;0;0;25;8;0;7;0;0;0;12;0;30;0;16;16;0;0;9;0;16;14;0;19;8;0;0;15;0;8;49;4;12;17;0;0;23;0;0;0;0;30;0;94;0;51;0;4;17;0;5;64;0;0;37;115;0;18;0;0;20;0;68;101;132;23;196;259;779;"#59C864"
"Lobosa";0;0;0;0;0;0;0;4;8;0;0;12;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;276;32;0;0;11;0;0;0;0;24;3;0;0;13;319;359;"#9FDA3A"
"Apusomonadidae";14;0;0;0;0;0;0;0;18;0;0;31;0;0;0;0;0;0;0;0;0;0;13;0;0;25;0;0;0;0;0;29;0;0;9;0;19;19;35;0;0;0;0;16;0;13;0;0;11;0;0;12;0;0;0;0;0;17;0;0;0;11;0;63;13;63;73;40;40;292;"#B2DD2D"
"Alveolata_X";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;64;0;0;50;0;0;12;0;0;0;0;0;0;0;0;0;12;0;0;20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;32;2;245;"#68CD5B"
"Metamonada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;9;0;4;56;0;0;0;0;0;14;0;0;0;0;0;0;217;217;"#7AD151"
"Hilomonadea";0;7;0;0;1;0;0;0;0;0;0;8;0;0;0;0;8;0;0;16;0;0;21;0;0;0;0;0;0;0;0;11;0;0;22;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;45;33;5;1;0;100;"#EBE51B"
"Chrompodellids";30;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;35;0;0;0;92;"#D9E219"
"Foraminifera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;11;11;54;76;"#C5E021"
"Perkinsea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;64;"#8CD646"
"Opisthokonta_X";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;"#FDE725"
"NA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"#22A884"
