Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,3049,118437.804068614,84335.0248157699,-39101.140648937,0.158313163672481,0.708091820617899,1.40015398321857,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.12,0.05,0.13,0.06,0.04,0.24,0.06,0.11,0.06,0.03
TN93+G+I,3046,118438.018964894,84368.760096245,-39121.0425490799,0.147073837642949,0.662337469618206,1.44839142074306,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.11,0.05,0.14,0.05,0.05,0.26,0.05,0.1,0.06,0.03
TN93+G,3045,118473.950806844,84415.8654147086,-39145.6066207227,n/a,0.524990964269066,1.4167558032777,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.12,0.05,0.13,0.06,0.05,0.25,0.06,0.11,0.06,0.03
GTR+G,3048,118500.684399506,84409.0786005034,-39139.178965051,n/a,0.526323284024024,1.41389460347534,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.12,0.05,0.13,0.06,0.04,0.25,0.06,0.11,0.06,0.03
HKY+G+I,3045,118660.509389936,84602.4239978003,-39238.8859122685,0.161709443687271,0.71337162272017,1.44548982254885,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
HKY+G,3044,118743.996614147,84697.0847060813,-39287.2276750413,n/a,0.503711925041337,1.43962054975364,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
K2+G+I,3042,118809.55075997,84784.9858427175,-39333.201049288,0.158367813487955,0.692352331007747,1.44665420523685,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,3043,118817.528555651,84781.7901392133,-39330.5917964609,0.159451193293072,0.713429956471649,1.39377709420102,0.278138640711778,0.278138640711778,0.221861359288222,0.221861359288222,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+G,3041,118869.164230577,84855.7728200673,-39369.6059352593,n/a,0.483593970243979,1.45105758779577,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,3042,118875.872055469,84851.3071382164,-39366.3616970375,n/a,0.497065329206934,1.39748558606296,0.278138640711778,0.278138640711778,0.221861359288222,0.221861359288222,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
JC+G+I,3041,120697.756899316,86684.3654888056,-40283.9022696285,0.158717944053949,0.709850876000895,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,3040,120765.151838497,86762.9339422864,-40324.1978898866,n/a,0.498849714680252,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,3048,127663.317455038,93571.711656035,-43720.4954928168,0.172697374948868,n/a,1.29944778907738,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.05,0.03,0.12,0.04,0.13,0.06,0.05,0.23,0.08,0.11,0.07,0.05
TN93+I,3045,127783.858766565,93725.773374429,-43800.5606005828,0.172814566980741,n/a,1.2923297686165,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.04,0.12,0.05,0.13,0.06,0.05,0.23,0.06,0.11,0.06,0.04
HKY+I,3044,128145.361472766,94098.4495647009,-43987.9101043511,0.172702432390105,n/a,1.31437305850616,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.18,0.06,0.14,0.06,0.04
T92+I,3042,128256.524383904,94231.9594666516,-44056.6878612551,0.17293898501312,n/a,1.28751665344891,0.278138640711778,0.278138640711778,0.221861359288222,0.221861359288222,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+I,3041,128547.801812217,94534.4104017069,-44208.9247260791,0.173113172199939,n/a,1.28682774241213,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+I,3040,130250.121128375,96247.9032321642,-45066.6825348255,0.173016874666513,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,3047,130889.40278181,96808.9704442057,-45340.1363068705,n/a,n/a,1.28945363561124,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.05,0.03,0.11,0.04,0.13,0.06,0.05,0.24,0.08,0.1,0.07,0.05
TN93,3044,131040.275759292,96993.3638512272,-45435.3672476143,n/a,n/a,1.28750175168625,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.06,0.04,0.11,0.05,0.13,0.06,0.05,0.24,0.06,0.1,0.06,0.04
HKY,3043,131636.258408314,97600.5199918768,-45739.9567227927,n/a,n/a,1.27966586739248,0.250621319910099,0.305655961513457,0.167005962442187,0.276716756134257,0.07,0.04,0.16,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.07,0.04
T92,3041,131677.021202168,97663.6297916576,-45773.5344210545,n/a,n/a,1.27232174891762,0.278138640711778,0.278138640711778,0.221861359288222,0.221861359288222,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2,3040,131970.837947839,97968.6200516286,-45927.0409445577,n/a,n/a,1.26976916931222,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,3039,133653.833553864,99662.7891795107,-46775.136898238,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
